# OSM export 2014-01-12T18:22:01Z
# Map data © OpenStreetMap contributors - http://www.openstreetmap.org/, licensed under ODbL - http://opendatacommons.org/licenses/odbl/

foot	(low tide route)
 45.4462623   12.3197943
 45.4462806   12.3196132
 45.4464716   12.3191834
 45.4467504   12.3185962
 45.4468549   12.3182826
 45.4469664   12.3181742
 45.4471348   12.3181692
 45.4473693   12.3181842
 45.4476494   12.3183548
 45.4479643   12.3185921
 45.4481826   12.3191344
 45.4483425   12.3197185
 45.4485038   12.3205116
 45.4487813   12.3218783
 45.4491834   12.3238379
 45.4495822   12.3263129
 45.4496231   12.3268140
 45.4496845   12.3277754
 45.4487004   12.3295201
 45.4486732   12.3305978
 45.4481043   12.3324104
 45.4476680   12.3329128
 45.4473458   12.3347653
 45.4468793   12.3357043
 45.4451129   12.3380862
 45.4437841   12.3398935
 45.4430194   12.3408977

tourist	5-Seen-Route
 53.1221866   13.5044385
 53.1223078   13.5046283
 53.1226384   13.5046160
 53.1227890   13.5047262
 53.1229322   13.5052465
 53.1229580   13.5055953
 53.1229029   13.5070460
 53.1229176   13.5076519
 53.1229873   13.5081905
 53.1233663   13.5089981
 53.1236921   13.5098155
 53.1239901   13.5109632
 53.1241186   13.5116426
 53.1242068   13.5124628
 53.1242545   13.5136319
 53.1243206   13.5147152
 53.1243941   13.5156823
 53.1246659   13.5177878
 53.1249193   13.5186998
 53.1252278   13.5195690
 53.1256211   13.5207828
 53.1261507   13.5218503
 53.1267374   13.5224457
 53.1282328   13.5242626
 53.1285004   13.5251251
 53.1287679   13.5262245
 53.1289108   13.5273532
 53.1291623   13.5286914
 53.1294832   13.5296648
 53.1304742   13.5321585
 53.1315186   13.5336149
 53.1324345   13.5348998
 53.1327983   13.5355034
 53.1333359   13.5363938
 53.1338566   13.5372336
 53.1342581   13.5385329
 53.1343730   13.5397732
 53.1344294   13.5415245
 53.1345561   13.5428757
 53.1347464   13.5434891
 53.1349304   13.5444061
 53.1351312   13.5452381
 53.1352001   13.5460032
 53.1351198   13.5468066
 53.1346206   13.5476864
 53.1338690   13.5485758
 53.1333239   13.5489106
 53.1325894   13.5492166
 53.1322615   13.5494511
 53.1319897   13.5497571
 53.1318759   13.5500142
 53.1316665   13.5503099
 53.1315009   13.5509998
 53.1312724   13.5518347
 53.1311036   13.5525696
 53.1309979   13.5532943
 53.1310143   13.5539015
 53.1311577   13.5548377
 53.1314450   13.5569035
 53.1318628   13.5593135
 53.1320602   13.5611574
 53.1319729   13.5626034
 53.1317480   13.5639193
 53.1312936   13.5656867
 53.1306096   13.5675918
 53.1297328   13.5697876
 53.1290350   13.5717615
 53.1285209   13.5735212
